Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
GASX,NG Energy International Corp,0.157882161671609,CAD,-0.1573,CAD,-0.1573,CAD,-0.0104668183197283,CAD,-0.10429252679793587,CAD,-0.04274931765445211,CAD,0.011319525093289361,CAD,0.13581,CAD,0.6047082734632832,CAD,0.11875662705812838,CAD
SFR,Sandfire Resources America Inc.,0,CAD,-0.0274,CAD,-0.0274,CAD,-0.0188797129526379,CAD,-0.02054075595751977,CAD,-0.019509830937149912,CAD,-0.01901923766086869,CAD,-0.05487,CAD,0.07006096667773401,CAD,0.00037846088100874426,CAD
RIC,Richards Group Inc.,37.1445539604833,CAD,2.0102,CAD,1.8767,CAD,3.08582587881096,CAD,2.9344860616291117,CAD,3.635746429785988,CAD,5.1673614314504634,CAD,17.98527,CAD,10.266584912804005,CAD,0.4168851445518585,CAD
PRN,Profound Medical Corp,0.662602380161326,CAD,-1.8687,CAD,-1.8687,CAD,-1.74377568779145,CAD,-1.7437756890606741,CAD,-1.9625709075956328,CAD,-1.9305305117703844,CAD,1.48123,CAD,0.21986382300292212,CAD,1.147433102768666,CAD
MKA,Mkango Resources Ltd.,0,CAD,-0.0631,CAD,-0.0631,CAD,-0.0190487444828098,CAD,-0.026975006481004038,CAD,-0.02244073821052203,CAD,-0.019028135599979942,CAD,-0.01898,CAD,0.007416392082592667,CAD,0.008491032679893595,CAD
AUMB,1911 Gold Corp.,0,CAD,-0.0696,CAD,-0.0696,CAD,-0.0529064171747659,CAD,-0.05290641717476585,CAD,-0.08291846193879181,CAD,-0.0808929111897274,CAD,0.12987,CAD,0.0006859434807588617,CAD,0.0453650738480699,CAD
D.UN,Dream Office Real Estate Investment Trust Class A,10.1702138624066,CAD,-8.2594,CAD,-8.2313,CAD,0.708219531048699,CAD,,,4.562483895903117,CAD,5.241690286008761,CAD,47.40456,CAD,63.879206390105644,CAD,0.7817057459417676,CAD
NEXG,Nexgold Mining Corp.,0,CAD,-0.3382,CAD,-0.3382,CAD,-0.200828857192326,CAD,-0.20183131570599483,CAD,-0.23054589585709268,CAD,-0.2247314253293233,CAD,0.87572,CAD,0.0538913362793102,CAD,0.07377045749419403,CAD
RECO,Reconnaissance Energy Africa Ltd.,0,CAD,-0.0738,CAD,-0.0738,CAD,-0.0434555468833539,CAD,-0.043455533984690056,CAD,-0.060682150996660404,CAD,-0.06048615579960687,CAD,0.62876,CAD,0,CAD,0.06659004860345522,CAD
LIFT,Li-FT Power Ltd.,0,CAD,-0.1737,CAD,-0.1737,CAD,-0.0721237074957341,CAD,-0.07227158855972653,CAD,-0.13062123123788047,CAD,-0.12715658916720082,CAD,5.58303,CAD,0.002049209029609317,CAD,0.3076559907030978,CAD
CMG,Computer Modelling Group Ltd.,1.51517552706142,CAD,0.2059,CAD,0.2029,CAD,0.245197618018537,CAD,0.20910771742784423,CAD,0.3118306680113336,CAD,0.43160207462901595,CAD,1.07062,CAD,0.47260241079575466,CAD,0.29275320558997264,CAD
GLO,Global Atomic Corporation,0.00339231855448529,CAD,-0.0102,CAD,-0.0102,CAD,-0.0232570193059444,CAD,-0.2122245926144994,CAD,-0.020287233282940895,CAD,-0.019629220939458104,CAD,0.86361,CAD,0.016743825672305715,CAD,0.01446649643152229,CAD
FAR,Foraco International SA,3.59110766079089,CAD,0.2362,CAD,0.2328,CAD,0.450434007546646,CAD,0.1716391294474527,CAD,0.385755435718851,CAD,0.6255876457563926,CAD,1.37947,CAD,1.3582315979922501,CAD,0.3486236809190259,CAD
SSV,Southern Silver Exploration Corp.,0,CAD,-0.024,CAD,-0.024,CAD,-0.0121780522007022,CAD,-0.016575207140184987,CAD,-0.022206298481882165,CAD,-0.022206298481882165,CAD,0.12902,CAD,0,CAD,0.03632306996697078,CAD
FISH,Sailfish Royalty Corp.,0.0538314837791269,CAD,0.0216,CAD,0.0216,CAD,0.0136272330544172,CAD,0.01362725684974758,CAD,0.002631637802646809,CAD,0.006319540982479441,CAD,0.70324,CAD,0,CAD,0.05732618421477892,CAD
CAPT,Capitan Silver Corp,0,CAD,-0.0155,CAD,-0.0155,CAD,-0.0244703039435883,CAD,-0.024478707628162795,CAD,-0.015178630032391126,CAD,-0.01517118927000746,CAD,0.21503,CAD,0,CAD,0.04308853581080491,CAD
KCP,King Copper Discovery Corp.,0,CAD,-0.0591,CAD,-0.0591,CAD,-0.0156408685841883,CAD,-0.016023155299906555,CAD,-0.027603927239106603,CAD,-0.027603927239106603,CAD,0.05809,CAD,0,CAD,0.07369791280183727,CAD
ADN,Acadian Timber Corp.,4.75513249553625,CAD,2.6881,CAD,2.6881,CAD,0.373111332363999,CAD,0.19784798482968585,CAD,0.7281768286324204,CAD,0.831092778729012,CAD,19.67237,CAD,6.053940535251528,CAD,0.26292236347737136,CAD
DBG,Doubleview Gold Corp.,0,CAD,-0.0098,CAD,-0.0098,CAD,-0.0050549462910915,CAD,-0.005054937032710716,CAD,-0.014419326277351598,CAD,-0.014419326277351598,CAD,0.1614,CAD,0,CAD,0.03695573885246397,CAD
BNKR,Bunker Hill Mining Corp,0,CAD,-0.0419,CAD,-0.0586,CAD,-0.0195815771420171,CAD,-0.09283932444250849,CAD,-0.020604399598090413,CAD,-0.01979871925491098,CAD,0.01738,CAD,0.1250064083867593,CAD,0.05594792807856595,CAD
CKG,Chesapeake Gold Corp.,0,CAD,-0.0557,CAD,-0.0557,CAD,-0.0540144163260212,CAD,-0.05248541205105002,CAD,-0.05761849783131027,CAD,-0.057415670733610015,CAD,2.34109,CAD,0,CAD,0.1623708927512716,CAD
AGX,Silver X Mining Corp,0.131937218067327,CAD,-0.011,CAD,-0.011,CAD,0.00499355341696511,CAD,-0.02829130591958623,CAD,-0.005379393816512079,CAD,0.003809352334386588,CAD,0.18149,CAD,0.017500740340052334,CAD,0.08547644598503279,CAD
DRX,ADF Group Inc.,8.9812934073221,CAD,1.0075,CAD,1.0075,CAD,0.462080759431822,CAD,0.21055386870484769,CAD,1.5773915471329356,CAD,1.8041740829930548,CAD,6.34574,CAD,1.4916413639060484,CAD,1.1414860573063903,CAD
XTC,Exco Technologies Limited,16.3749637557002,CAD,0.6505,CAD,0.6505,CAD,1.60798165379445,CAD,0.7574926852413212,CAD,0.8937712523394048,CAD,1.8423175264253895,CAD,10.61632,CAD,2.6035268998602947,CAD,0.6492078973034242,CAD
FO,Falcon Oil & Gas Ltd.,0,CAD,-0.0036,CAD,-0.0036,CAD,-0.0026999627947739,CAD,-0.0026999608706549747,CAD,-0.0035394656410089958,CAD,-0.0028914331979133416,CAD,0.05305,CAD,0.000013799315146302276,CAD,0.0024750953439685807,CAD
HITI,"High Tide, Inc.",6.78959235206864,CAD,-0.5849,CAD,-0.5855,CAD,0.272801734509686,CAD,0.15348955380022042,CAD,0.17645354796053042,CAD,0.4543304509157999,CAD,1.00142,CAD,1.2555440928634205,CAD,0.5480610393252285,CAD
APGO,Apollo Silver Corp,0,CAD,-0.1594,CAD,-0.1594,CAD,-0.140009650988506,CAD,-0.14034341743507964,CAD,-0.15556206178843865,CAD,-0.15258454577812777,CAD,0.1899,CAD,0.004057260056557747,CAD,0.17358782201521092,CAD
MLP,Millennial Potash Corp,0,CAD,-0.0922,CAD,-0.0922,CAD,-0.0277145881480489,CAD,-0.03022809351878001,CAD,-0.08521773274568196,CAD,-0.08415751137061186,CAD,0.27792,CAD,0.001110093024850895,CAD,0.14983304229262284,CAD
ALV,Alvopetro Energy Ltd.,1.80883725319359,CAD,0.7418,CAD,0.7323,CAD,1.42733164100706,CAD,0.44185902249640124,CAD,0.9165773868464141,CAD,1.3473402785953104,CAD,3.65812,CAD,0.2669871246839452,CAD,0.44409630363578995,CAD
CKI,Clarke Inc.,5.93861255585671,CAD,2.5249,CAD,2.5249,CAD,1.39484286865431,CAD,,,1.0447586257417039,CAD,1.8946597318877738,CAD,21.22365,CAD,19.081385979049156,CAD,0.04094938099772911,CAD
PNPN,Power Metallic Mines Inc.,0,CAD,-0.1848,CAD,-0.1848,CAD,-0.139705343530279,CAD,-0.13974610532870466,CAD,-0.17839494611122764,CAD,-0.1783788937060847,CAD,0.05438,CAD,0,CAD,0.136108852185821,CAD
DR,Medical Facilities Corporation,16.3159670691056,CAD,7.1603,CAD,7.0132,CAD,3.36335998146359,CAD,3.0941474076396536,CAD,1.9156102516243354,CAD,2.826013004109094,CAD,6.53293,CAD,4.104824344457971,CAD,2.95208846992742,CAD
VCM,Vecima Networks Inc.,11.4141737262814,CAD,-0.4814,CAD,-0.4814,CAD,1.17271133542267,CAD,1.0170846364944446,CAD,-0.06481703951133216,CAD,1.0490407530555519,CAD,8.72529,CAD,2.8813970737080785,CAD,0.1284413796915548,CAD
ACB,Aurora Cannabis Inc.,6.50891192954651,CAD,-1.5747,CAD,-1.575,CAD,-0.167451169902596,CAD,-0.5455813458384938,CAD,-3.2900953793071666,CAD,-2.858131021652401,CAD,9.45804,CAD,1.7618221590074723,CAD,2.6940990026301996,CAD
GMG,Graphene Manufacturing Group Ltd,0.00214785780188231,CAD,-0.0811,CAD,-0.0811,CAD,-0.0511939992220772,CAD,-0.05659858434545743,CAD,-0.09507864954713591,CAD,-0.08070078589992577,CAD,0.08589,CAD,0.0057010952911199664,CAD,0.10676826934816884,CAD
TSND,TerrAscend Corp.,1.25861619632565,CAD,-0.5628,CAD,-0.5628,CAD,0.108498987906605,CAD,0.05566987799339521,CAD,0.16886250957265186,CAD,0.25749234571457796,CAD,0.42547,CAD,1.1566114165592047,CAD,0.1708779167715603,CAD
OLY,Olympia Financial Group Inc.,41.8901022134897,CAD,8.9216,CAD,8.9216,CAD,9.33990598154206,CAD,,,11.788262320806405,CAD,12.974659399186148,CAD,18.44314,CAD,1.2967012919226575,CAD,6.425712784914492,CAD
