Symbol,Description,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research & development ratio, Trailing 12 months","Selling, general & admin expenses ratio, Trailing 12 months"
GIGA,Giga Metals Corporation,,,,,,-9.11385219279738,-11.3154606094745,-11.2800013768476,,
HYLQ,HYLQ Strategy Corp.,,,,,,-110.246886328247,-128.312566867001,-128.312566867001,,
BRCH,Birchtree Investments Ltd.,,,,,,-63.5606987819153,-71.7283176890957,-71.7283176890957,,
QQQ,"Questcorp Mining, Inc.",,,,,,,,,,
WLF,Wolfden Resources Corp.,,,,,,-23.0212609725977,-32.8630570958551,-32.8630570958551,,
HEM,Hemostemix Inc,,,,,,-453.771147016725,,,,
CVB,Compass Gold Corporation,,,,,,-4.96336504404155,-5.40228758737715,-5.2988807448607,,
RE,RE Royalties Ltd.,-4.435252225426,-428.230472952635,-419.148722978373,-407.886892482473,-244.73949136038814,-19.4199507585578,-140.80958125096,-23.1172578150518,,423.79522072720954
UUU,Vanguard Mining Corp,,,,,,-82.931952251213,-100.744597404942,-100.596727637997,,
PMC,Peloton Minerals Corp.,,,,,,19.3668219113407,,,,
SCAN,Liberty Defense Holdings Ltd.,,,,,,,,,,
CACR,Canadian Chrome Company Inc.,,,,,,-3931.91058997353,,,,
RRI,Riverside Resources Inc,,,,,,18.2302722719528,21.138802798902,21.138802798902,,
WRX,Western Resources Corp,,,,,,,,,,
BLAB,Britannia Life Sciences Inc,,,,,,,,,,
PEI,Prospera Energy Inc.,-9.97112958151071,-25.6177824699181,-42.4647993066424,-42.4647993066424,-54.776094143778664,-11.2770740872351,,-34.3210123831555,,15.646652888407427
MTT,Magna Terra Minerals Inc,,,,,,-19.1799282001047,-37.2429716224605,-37.2429716224605,,
ELC,Elysee Development Corp,98.5849403798027,433.002978965275,412.417398629308,412.417398629308,-31.610358702585994,44.7253765897465,49.7282102318733,44.7343122822773,,
URZ,URZ3 Energy Corp.,,,,,,-60.8384983324801,-78.2834801422427,-78.2834801422427,,
MDS.UN,Healthcare Special Opportunities Fund Trust Units A,57.877202684323,-268.834501621654,-271.847639260466,-271.847639260466,-57.68006337154558,-9.66957128445392,-9.69438802986649,-9.69438802986649,,
ACD,Accord Financial Corp.,99.2953748052818,35.8834747921792,-10.0787607913931,-9.45129496717087,-46.7716810551908,-1.51577059843987,-8.14984056843004,-3.01825738873314,,
RW,RenoWorks Software Inc.,75.3741295714238,0.232471366024824,3.20675483421573,3.20675483421573,9.340800673614565,9.25602476459091,446.707598816983,446.707598816983,23.95588258260045,51.18577562279856
MPVD,Mountain Province Diamonds Inc.,-74.3688996721797,-81.0722377592157,-126.02683063854,-117.401021120022,-89.37887010044511,-22.6619999618655,-76.2127858254999,-32.4100782876421,,6.703338087035974
GDP,Golden Pursuit Resources Ltd.,,,,,,-149.365481908312,,,,
EXG,ExGen Resources Inc.,,,,,,-13.3961907150731,-13.725330450725,-13.725330450725,,
VIZ,Visionary Metals Corp,,,,,,-8.39386626555905,-9.60987839991188,-9.60987839991188,,
HWY,Highway 50 Gold Corp.,,,,,,-16.7466518620174,-21.0238470152608,-18.7960053426677,,
KCLI,American Critical Minerals Corp.,,,,,,-63.8288273808595,-71.6996050529942,-71.6996050529942,,
PEMC,Pacific Empire Minerals Corp.,,,,,,-105.798301102476,-182.684679792656,-181.829721718044,,
STS,South Star Battery Metals Corp,,,,,,,,,,
PRME,Prime Drink Group Corp,-51.1199083953216,-268.734856301169,-1171.69417153216,-1171.69417153216,-1124.2972139199283,-114.035059769943,,,,217.6149479058477
RGR,Rio Grande Resources Ltd,,,,,,,,,,
TRBC,Tribeca Resources Corporation,,,,,,-79.0784097090339,-84.1444437279021,-84.1444437279021,,
ICGH,IC Group Holdings Inc.,39.8134070763215,-7.57796875981192,-19.4472289296491,-19.1827969341259,33.79233604280906,-21.239462792215,-125.492964128849,-57.0788796170048,,47.39137583613346
LEAP,Quantum Critical Metals Corp,,,,,,-59.3904731228923,-80.2608107513814,-80.2608107513814,,
DYG,Dynasty Gold Corp.,,,,,,-7.49041998222726,-7.91948453165445,-7.91948453165445,,
HOH,High Arctic Overseas Holdings Corp.,,,,,,,,,,
VERS,VERSES AI Inc,,,,,,,,,,
UE,Urano Energy Corp,,,,,,-20.042517418163,-20.6144126756008,-20.6144126756008,,
PEX,Pacific Ridge Exploration Ltd.,,,,,,-78.0986735237205,-82.1331506331723,-82.1331506331723,,
CWV,"Crown Point Energy, Inc.",-26.3161286542426,-34.7918852912008,-16.833796882058,-2.40438146015451,-12.110554807896312,-1.21499664590487,-16.4255141725822,-4.59525239640656,,8.47575663695814
VUX,Vital Energy Inc.,28.6459472609403,22.3600825054553,10.986324389227,10.986324389227,34.51153243477425,4.58543511003274,12.7817880380561,9.29172365727692,,6.285864755484982
AWCM,Ameriwest Critical Metals Inc.,,,,,,-24.8674951442822,-29.3228834967281,-29.3228834967281,,
SVB,"Silver Bull Resources, Inc.",,,,,,-347.464357274765,,,,
ENDR,Enduro Metals Corporation,,,,,,-3.95141085431162,-4.11797790395149,-4.10816589143071,,
AERO,Aero Energy Limited,,,,,,-108.294276180759,-112.076820293784,-112.076820293784,,
BAY,Aston Bay Holdings Ltd.,,,,,,-41.8878491065749,-55.0635215120985,-55.0635215120985,,
VAND,Largo Physical Vanadium Corp.,,,,,,-3.39638639310294,-3.5057359340131,-3.5057359340131,,
FOMO,Formation Metals Inc.,,,,,,-115.954043492255,-140.014391558597,-140.014391558597,,
ZNX,ZincX Resources Corp.,,,,,,-3.24032520004633,-3.47039559428691,-3.43697368283477,,
MTS,Metallis Resources Inc.,,,,,,-352.660558092128,-952.834790818964,-805.0112651379,,
INVR,Inverite Insights Inc,84.2960957462201,-159.055597682855,-154.755153692258,-150.664470828507,-91.70856460210912,-76.1008547796703,,,,
OZ,Valkea Resources Corp,,,,,,-90.8975198267534,-96.2963707964322,-96.2963707964322,,
ECOM,Emerge Commerce Ltd,35.7709672103254,0.786660609115829,5.30209204649669,1.87287779036517,9.473827972720827,5.52577089255066,,,,34.984306601209525
WGT,Westgate Energy Inc,-2.57811285408002,-64.5825647094186,-153.437638338828,-153.437638338828,-215.33861032508722,-32.7389436563601,-81.7789056772605,-50.4040305374397,,62.00445185533864
